number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
1,Hydrogen,H,"hydrogen, H","/?ha?dr?d??n/, HY-dr?-j?n",colorless gas,1,"group 1, s-block",1,diatomic nonmetal,1.008 (1.00784–1.00811),1s1,1,colorless,gas,"13.99 K (?259.16 °C, ?434.49 °F)","20.271 K (?252.879 °C, ?423.182 °F)",0.08988 g/L,0.07 g/cm3 (solid: 0.0763 g·cm?3),0.07099 g/cm3,"13.8033 K, 7.041 kPa","32.938 K, 1.2858 MPa",(H2) 0.117 kJ/mol,(H2) 0.904 kJ/mol,(H2) 28.836 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 15, 20","?1, +1 (an amphoteric oxide)",Pauling scale: 2.20,1st: 1312.0 kJ/mol,31±5 pm,120 pm,hexagonal,"1310 m/s (gas, 27 °C)",0.1805 W/(m·K),diamagnetic,1333-74-0,Henry Cavendish (1766),Antoine Lavoisier (1783),"iso, NA, half-life, DM, DE (MeV), DP, 1H, 99.98%, 1H is stable with 0 neutrons, 2H, 0.02%, 2H is stable with 1 neutron, 3H, trace, 12.32 y, ??, 0.01861, 3He",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Helium,He,"helium, He","/?hi?li?m/, HEE-lee-?m","colorless gas, exhibiting a red-orange glow when placed in a high-voltage electric field",2,"group 18 (noble gases), s-block",1,noble gas,4.002602(2),1s2,2,,gas,"0.95 K (?272.20 °C, ?457.96 °F) (at 2.5 MPa)","4.222 K (?268.928 °C, ?452.070 °F)",0.1786 g/L,0.145 g/cm3,0.125 g/cm3,"2.177 K, 5.043 kPa","5.1953 K, 0.22746 MPa",0.0138 kJ/mol,0.0829 kJ/mol,20.78 J/(mol·K),"vapor pressure (defined by ITS-90), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1.23, 1.67, 2.48, 4.21",0,Pauling scale: no data,"1st: 2372.3 kJ/mol, 2nd: 5250.5 kJ/mol",28 pm,140 pm,hexagonal close-packed (hcp),972 m/s,0.1513 W/(m·K),diamagnetic,7440-59-7,"Pierre Janssen, Norman Lockyer (1868)",,"iso, NA, half-life, DM, DE (MeV), DP, 3He, 0.0002%, 3He is stable with 1 neutron, 4He, 99.9998%, 4He is stable with 2 neutrons",,"after Helios, Greek god of the Sun","William Ramsay, Per Teodor Cleve, Abraham Langlet (1895)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lithium,Li,"lithium, Li","/?l??i?m/, LI-thee-?m",silvery-white,3,"group 1 (alkali metals), s-block",2,alkali metal,6.94 (6.938–6.997),[He] 2s1,"2, 1",,solid,"453.65 K (180.50 °C, 356.90 °F)","1603 K (1330 °C, 2426 °F)",,0.512 g/cm3,,,"3220 K, 67 MPa (extrapolated)",3.00 kJ/mol,136 kJ/mol,24.860 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 797, 885, 995, 1144, 1337, 1610",+1 (a strongly basic oxide),Pauling scale: 0.98,"1st: 520.2 kJ/mol, 2nd: 7298.1 kJ/mol, 3rd: 11815.0 kJ/mol",128±7 pm,182 pm,body-centered cubic (bcc),,84.8 W/(m·K),paramagnetic,7439-93-2,Johan August Arfwedson (1817),,"iso, NA, half-life, DM, DE (MeV), DP, 6Li, 5%, 6Li is stable with 3 neutrons, 7Li, 95%, 7Li is stable with 4 neutrons",797,,William Thomas Brande (1821),0.534 g/cm3,empirical: 152 pm,6000 m/s (at 20 °C),46 µm/(m·K) (at 25 °C),92.8 n?·m (at 20 °C),4.9 GPa,4.2 GPa,11 GPa,0.6,5 MPa,,,,,,,,,,,,,,,,,,,,,
4,Beryllium,Be,"beryllium, Be","/b??r?li?m/, b?-RIL-ee-?m",white-gray metallic,4,"group 2 (alkaline earth metals), s-block",2,alkaline earth metal,9.0121831(5),[He] 2s2,"2, 2",,solid,"1560 K (1287 °C, 2349 °F)","2742 K (2469 °C, 4476 °F)",,1.690 g/cm3,,,"5205 K,  MPa (extrapolated)",12.2 kJ/mol,292 kJ/mol,16.443 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1462, 1608, 1791, 2023, 2327, 2742","+2, +1 (an amphoteric oxide)",Pauling scale: 1.57,"1st: 899.5 kJ/mol, 2nd: 1757.1 kJ/mol, 3rd: 14,848.7 kJ/mol, (more)",96±3 pm,153 pm,hexagonal close-packed (hcp),,200 W/(m·K),diamagnetic,7440-41-7,Louis Nicolas Vauquelin (1797),,"iso, NA, half-life, DM, DE (MeV), DP, 7Be, trace, 53.12 d, ?, 0.862, 7Li, ?, 0.477, –, 9Be, 100%, 9Be is stable with 5 neutrons, 10Be, trace, 1.36×106 y, ??, 0.556, 10B",1462,,Friedrich Wöhler & Antoine Bussy (1828),1.85 g/cm3,empirical: 112 pm,"12,890 m/s (at r.t.)",11.3 µm/(m·K) (at 25 °C),36 n?·m (at 20 °C),287 GPa,132 GPa,130 GPa,5.5,590–1320 MPa,0.032,1670 MPa,,,,,,,,,,,,,,,,,,,
5,Boron,B,"boron, B",/?b??r?n/,black-brown,5,"group 13, p-block",2,metalloid,10.81 (10.806–10.821),[He] 2s2 2p1,"2, 3",,solid,"2349 K (2076 °C, 3769 °F)","4200 K (3927 °C, 7101 °F)",,,,,,50.2 kJ/mol,508 kJ/mol,11.087 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2348, 2562, 2822, 3141, 3545, 4072","3, 2, 1, ?1, ?5 (a mildly acidic oxide)",Pauling scale: 2.04,"1st: 800.6 kJ/mol, 2nd: 2427.1 kJ/mol, 3rd: 3659.7 kJ/mol, (more)",84±3 pm,192 pm,rhombohedral,,27.4 W/(m·K),diamagnetic,7440-42-8,Joseph Louis Gay-Lussac and Louis Jacques Thénard (30 June 1808),,"iso, NA, half-life, DM, DE (MeV), DP, 10B, 20%, 10B is stable with 5 neutrons, 11B, 80%, 11B is stable with 6 neutrons",2348,,Humphry Davy (9 July 1808),,empirical: 90 pm,"16,200 m/s (at 20 °C)",? form: 5–7 µm/(m·K) (at 25 °C),~106 ?·m (at 20 °C),,,,~9.5,,,,"?-, ?-rhombohedral, ?-tetragonal (and more)",2.08 g/cm3,,,,,,,,,,,,,,,,,
6,Carbon,C,"carbon, C","/?k??rb?n/, KAR-b?n","graphite: black, diamond: clear",6,"group 14 (carbon group), p-block",2,"polyatomic nonmetal, sometimes considered a metalloid",12.011 (12.0096–12.0116),[He] 2s2 2p2,"2, 4",,solid,,,,,,"4600 K, 10,800 kPa",,graphite: 117 kJ/mol,,"graphite: 8.517 J/(mol·K), diamond: 6.155 J/(mol·K)",,"+4, +3, +2, +1, 0, ?1, ?2, ?3, ?4 (a mildly acidic oxide)",Pauling scale: 2.55,"1st: 1086.5 kJ/mol, 2nd: 2352.6 kJ/mol, 3rd: 4620.5 kJ/mol, (more)","sp3: 77 pm, sp2: 73 pm, sp: 69 pm",170 pm,diamond: face-centered diamond-cubic,,"graphite: 119–165 W/(m·K), diamond: 900–2300 W/(m·K)",diamagnetic,7440-44-0,Egyptians and Sumerians (3750 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 11C, syn, 20 min, ?+, 0.96, 11B, 12C, 98.9%, 12C is stable with 6 neutrons, 13C, 1.1%, 13C is stable with 7 neutrons, 14C, trace, 5730 y, ??, 0.156, 14N",,,,"amorphous: 1.8–2.1 g/cm3, graphite: 2.267 g/cm3, diamond: 3.515 g/cm3",,"diamond: 18,350 m/s (at 20 °C)",diamond: 0.8 µm/(m·K) (at 25 °C),graphite: 7.837 µ?·m,diamond: 1050 GPa,diamond: 478 GPa,diamond: 442 GPa,"graphite: 1–2, diamond: 10",,diamond: 0.1,,"graphite, diamond",,"3915 K (3642 °C, 6588 °F)",Antoine Lavoisier (1789),,,,,,,,,,,,,,,
7,Nitrogen,N,"nitrogen, N","/?na?tr?d??n/, NY-tr?-j?n","colorless gas, liquid or solid",7,"group 15 (pnictogens), p-block",2,diatomic nonmetal,14.007 (14.00643–14.00728),[He] 2s2 2p3,"2, 5",,gas,"63.15 K (?210.00 °C, ?346.00 °F)","77.355 K (?195.795 °C, ?320.431 °F)",1.251 g/L,,0.808 g/cm3,"63.151 K, 12.52 kPa","126.192 K, 3.3958 MPa",(N2) 0.72 kJ/mol,,(N2) 29.124 J/(mol·K),"vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 37, 41, 46, 53, 62, 77","5, 4, 3, 2, 1, ?1, ?2, ?3 (a strongly acidic oxide)",Pauling scale: 3.04,,71±1 pm,155 pm,hexagonal,"353 m/s (gas, at 27 °C)",25.83×10?3 W/(m·K),diamagnetic,7727-37-9,Daniel Rutherford (1772),Jean-Antoine Chaptal (1790),"iso, NA, half-life, DM, DE (MeV), DP, 13N, syn, 9.965 min, ?, 2.220, 13C, 14N, 99.6%, 14N is stable with 7 neutrons, 15N, 0.4%, 15N is stable with 8 neutrons",37,,,,,,,,,,,,,,,,,,,(N2) 5.56 kJ/mol,"1st: 1402.3 kJ/mol, 2nd: 2856 kJ/mol, 3rd: 4578.1 kJ/mol, (more)",,,,,,,,,,,,,
8,Oxygen,O,"oxygen, O","/??ks?d??n/, OK-si-j?n","gas: colorless, liquid: pale blue",8,"group 16 (chalcogens), p-block",2,diatomic nonmetal,15.999 (15.99903–15.99977),[He] 2s2 2p4,"2, 6",,gas,"54.36 K (?218.79 °C, ?361.82 °F)","90.188 K (?182.962 °C, ?297.332 °F)",1.429 g/L,,1.141 g/cm3,"54.361 K, 0.1463 kPa","154.581 K, 5.043 MPa",(O2) 0.444 kJ/mol,(O2) 6.82 kJ/mol,(O2) 29.378 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 61, 73, 90","2, 1, ?1, ?2",Pauling scale: 3.44,"1st: 1313.9 kJ/mol, 2nd: 3388.3 kJ/mol, 3rd: 5300.5 kJ/mol, (more)",66±2 pm,152 pm,cubic,"330 m/s (gas, at 27 °C)",26.58×10?3  W/(m·K),paramagnetic,7782-44-7,Carl Wilhelm Scheele (1772),Antoine Lavoisier (1777),"iso, NA, half-life, DM, DE (MeV), DP, 16O, 99.76%, 16O is stable with 8 neutrons, 17O, 0.04%, 17O is stable with 9 neutrons, 18O, 0.20%, 18O is stable with 10 neutrons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fluorine,F,"fluorine, F","/?fl??ri?n/, /?fl??r?n/, /?fl??ri?n/
FLOOR-een, FLOOR-in, FLOHR-een","gas: very pale yellow
liquid: bright yellow
solid: alpha is opaque, beta is transparent",9,"group 17 (halogens), p-block",2,diatomic nonmetal,18.998403163(6),[He] 2s2 2p5,"2, 7",,gas,"53.48 K (?219.67 °C, ?363.41 °F)","85.03 K (?188.11 °C, ?306.60 °F)",1.696 g/L,,1.505 g/cm3,"53.48 K, 90 kPa","144.41 K, 5.1724 MPa",,6.51 kJ/mol,"Cp: 31 J/(mol·K) (at 21.1 °C), Cv: 23 J/(mol·K) (at 21.1 °C)","vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 38, 44, 50, 58, 69, 85",?1 (oxidizes oxygen),Pauling scale: 3.98,"1st: 1681 kJ/mol, 2nd: 3374 kJ/mol, 3rd: 6147 kJ/mol, (more)",64 pm,135 pm,cubic,,0.02591 W/(m·K),diamagnetic (?1.2×10?4),7782-41-4,André-Marie Ampère (1810),Humphry Davy,"iso, NA, half-life, DM, DE (MeV), DP, 18F, trace, 109.77 min, ?+ (96.9%), 0.634, 18O, ? (3.1%), 1.656, 18O, 19F, 100%, 19F is stable with 10 neutrons",38,"after the mineral fluorite, itself named after Latin fluo (to flow, in smelting)","Henri Moissan (June 26, 1886)",,,,,,,,,,,,,"alpha, beta",,,,,,,,,,,,,,,,,,
10,Neon,Ne,"neon, Ne",/?ni??n/,colorless gas exhibiting an orange-red glow when placed in a high voltage electric field,10,"group 18 (noble gases), p-block",2,noble gas,20.1797(6),[He] 2s2 2p6,"2, 8",,gas,"24.56 K (?248.59 °C, ?415.46 °F)","27.104 K (?246.046 °C, ?410.883 °F)",0.9002 g/L,,1.207 g/cm3,"24.556 K, 43.37 kPa","44.4918 K, 2.7686 MPa",0.335 kJ/mol,1.71 kJ/mol,20.79 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 12, 13, 15, 18, 21, 27",0,,"1st: 2080.7 kJ/mol, 2nd: 3952.3 kJ/mol, 3rd: 6122 kJ/mol, (more)",58 pm,154 pm,face-centered cubic (fcc),"435 m/s (gas, at 0 °C)",49.1×10?3 W/(m·K),diamagnetic,7440-01-9,,,"iso, NA, half-life, DM, DE (MeV), DP, 20Ne, 90.48%, 20Ne is stable with 10 neutrons, 21Ne, 0.27%, 21Ne is stable with 11 neutrons, 22Ne, 9.25%, 22Ne is stable with 12 neutrons",12,,,,,,,,,,654 GPa,,,,,,,,,,,William Ramsay (1897),William Ramsay & Morris Travers (1898),,,,,,,,,,,
